,FLH_electrolyzer
0,6297.659063625451
1,5835.2605140186915
2,6136.135770234987
3,6136.135770234987
4,6395.459354838709
5,6395.459354838709
6,5482.26873385013
7,4721.676812967652
8,5007.56431943988
9,4771.093346707605
10,2774.2805970149257
11,4382.375236948999
12,4382.375236948999
13,4029.2994526315792
14,4962.185258491342
15,4739.969917679473
16,4208.209558313049
17,4646.6541664049355
18,4660.857924920932
19,4660.857924920932
20,4891.985507246376
21,4796.988962883998
22,4796.988962883998
23,4622.3487679409745
24,4749.327231522068
25,5164.284960422163
26,3467.776822276096
27,3467.776822276096
28,4991.259981352797
29,5628.193749722737
30,5628.193749722737
31,6250.908045977012
32,6321.967664670659
33,6201.989104116222
34,6466.445229681977
35,6556.13185530922
36,6522.47435897436
37,6600.810126582278
38,6186.424858757063
39,6319.057174887892
40,4733.740684376718
41,4733.740684376718
42,4991.432829726418
43,4698.935950006971
44,4612.462830712303
45,4499.062387432994
46,4499.062387432994
47,5482.322340064485
48,5470.217289562966
49,5340.552731893265
50,6186.424858757063
51,6500.57718894009
52,6463.513513513512
53,6452.218713450292
54,6297.659063625451
55,5835.2605140186915
56,6136.135770234987
57,6208.378476420798
58,5879.672862453532
59,3909.4805728201222
60,4656.391357214763
61,2774.8343283582085
62,2769.6413690476184
63,4029.2994526315792
64,4509.257716258291
65,5277.770931012722
66,4739.969917679473
67,4208.209558313049
68,4464.359116349871
69,3663.3108948194663
70,4891.985507246376
71,4796.988962883998
72,4796.988962883998
73,4622.3487679409745
74,4622.3487679409745
75,4749.327231522068
76,5164.284960422163
77,5114.923693252577
78,5114.923693252577
79,4721.676812967652
80,5353.944694649613
81,5353.944694649613
82,4829.938621245442
83,5284.098339719029
84,4991.432829726418
85,4691.408961204543
86,4612.462830712303
87,4372.840160252655
88,3467.776822276096
89,3467.776822276096
90,5343.166368709279
91,5628.193749722737
92,5628.193749722737
93,5520.042973286875
94,6088.509135200976
95,6088.509135200976
96,6088.509135200976
97,6522.47435897436
98,6600.810126582278
99,6319.057174887892
